start_date,end_date,name,location
2023-05-31,2023-06-02,Domino Rev 2023,New York NY
2023-05-31,2023-06-01,Teratec,Paris France
2023-05-30,2023-06-02,Computex 2023,Taipei Taiwan
2023-05-30,2023-06-09,NCI Open Hackathon,Hybrid Event
2023-05-29,2023-06-02,ICRA 2023,London England
2023-05-23,2023-05-25,Microsoft Build 2023,Seattle WA + Online
2023-05-22,2023-05-25,Automate 2023,Detroit MI
2023-05-22,2023-05-25,Dell Technologies World 2023,Las Vegas NV
2023-05-22,2023-05-25,HPE TSS 2023,Barcelona Spain
2023-05-21,2023-05-24,GeoINT 2023,St. Louis
2023-05-21,2023-05-25,ISC 2023,Hamburg Germany
2023-05-17,2023-05-25,Univeristy of Florida Open Hackathon,Digital Event
2023-05-15,2023-05-16,EuroCC N-Ways to GPU Programming Bootcamp,Digital Event
2023-05-11,2023-05-12,MPCDF AI for Science Bootcamp,Digital Event
2023-05-09,2023-05-10,China End-to-End AI for Science Bootcamp,Digital Event
2023-05-02,2023-05-11,Helmholtz GPU Hackathon,Hybrid Event
2023-04-25,2023-05-05,ALCF INCITE Open Hackathon,Hybrid Event
2023-04-17,2023-04-21,Hannover Messe ,Hannover Germany 
2023-04-17,2023-04-18,EuroCC AI for Science Bootcamp,Digital Event
2023-04-04,,AWS Startup Day Miami,Miami FL
2023-03-20,2023-03-24,GDC 2023,San Francisco CA
2023-03-20,2023-03-23,GTC 2023,Digital
2023-03-08,2023-03-10,HP PS Unleased 2023,Hybrid Event
2023-02-27,2023-03-02,Mobile World Congress (MWC) Barcelona,Barcelona Spain
2023-02-12,2023-02-15,3EXPERIENCE WORLD 2023,Hybrid Event
2023-01-15,2023-01-17,NRF 2023,New York NY
2023-01-05,2023-01-08,CES 2023,Las Vegas NV
2022-12-06,2022-12-07,Gartner IT IOCS 2022,Las Vegas NV
2022-11-30,2022-12-08,NERSC GPU Hackathon 2022,Digital
2022-11-28,2022-12-02,I/ITSEC 2022,Orlando FL
2022-11-28,2022-12-02,AWS re:Invents,Las Vegas NV
2022-11-27,2022-12-01,RSNA 2022,Chicago IL
2022-11-13,2022-11-18,SC22,Dallas TX
2022-10-25,2022-10-26,NVIDIA/HLRS SciML GPU Bootcamp,Digital Event
2022-10-23,2022-10-26,Money20/20 USA,Las Vegas NV
2022-10-19,2022-10-21,ROSCon/ROSWorld 2022,Kyoto Japan 
2022-10-17,2022-10-20,Oracle CloudWorld 2022,Las Vegas NV
2022-10-17,2022-10-27,OLCF GPU Hackathon 2022,Digital
2022-10-12,2022-10-14,Microsoft Ignite 2022,Seattle WA
2022-09-28,2022-09-30,MWC Las Vegas 2022,Las Vegas NV
2022-09-27,2022-09-29,Autodesk University 2022,New Orleans LA
